"","gender","condtn","order","match","int_corr","samerace","age_o","race_o","pf_o_att","pf_o_sin","pf_o_int","pf_o_fun","pf_o_amb","pf_o_sha","dec_o","attr_o","sinc_o","intel_o","fun_o","amb_o","shar_o","like_o","prob_o","met_o","age","field_cd","race","imprace","imprelig","goal","date","go_out","career_c","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga","exphappy","attr1_1","sinc1_1","intel1_1","fun1_1","amb1_1","shar1_1","attr2_1","sinc2_1","intel2_1","fun2_1","amb2_1","shar2_1","attr3_1","sinc3_1","fun3_1","intel3_1","amb3_1"
"7606","0","2",4,"0",0.64,"0",30,"2",30,3,30,30,3,4,"0",8,7,6,5,6,3,4,3,2,30,"FineArts","3",1,1,"ToSayIDidIt","1/Month","1/Week","Entertainment",2,1,9,9,6,8,4,1,2,9,3,10,8,4,4,3,9,3,15,20,20,20,5,10,30,20,15,15,10,10,8,9,7,9,7
"4475","0","2",2,"0",0.12,"1",25,"2",25,20,15,25,10,5,"0",5,6,6,6,5,3,4,3,2,30,"Education","2",5,7,"MeetNewPpl","SVRL/Year","SVRL/Week","Academic/Research",7,8,8,5,7,5,3,1,2,10,7,10,10,8,8,5,8,6,10,18,20,16,16,20,22,20,14,18,8,18,7,10,8,8,8
"5328","0","2",9,"1",0.1,"1",25,"4",30,10,15,20,15,10,"1",9,9,8,8,7,9,9,9,2,27,"Education","4",10,10,"FunNightOut","2/Month","2/Week","Academic/Research",2,6,10,10,10,10,8,1,7,10,6,10,8,7,7,8,1,1,15,20,20,20,20,5,60,0,5,20,0,15,6,10,7,7,6
"5413","1","2",18,"1",0.08,"1",33,"2",25,20,10,20,20,5,"1",4,7,9,7,8,8,8,8,2,30,"Law","2",1,1,"FunNightOut","2/Month","1/Week","Lawyer",8,2,1,9,6,6,6,4,7,6,4,6,6,6,6,7,2,9,20.51,14.53,24.79,17.09,5.98,17.09,33,17,16,33,0,1,7,7,9,8,8
"2685","0","2",7,"0",0.35,"0",42,"2",23.81,23.81,23.81,23.81,2.38,2.38,"1",7,6,7,6,5,5,6,4,2,24,"PoliSci","6",2,1,"FunNightOut","2/Month","1/Week","Banking/Consulting",6,1,4,10,8,8,4,7,5,9,6,5,10,8,10,7,3,3,14,18,20,18,16,14,23.81,14.29,19.05,16.67,14.29,11.9,7,8,9,9,7
"6926","0","2",2,"1",0.51,"0",29,"1",20,15,20,15,15,15,"1",9,9,10,9,10,7,8,5,2,25,"PoliSci","4",1,1,"MeetNewPpl","1/Week","SVRL/Week","IntlAffairs",10,7,7,7,7,7,3,3,4,7,9,7,7,7,8,6,9,4,20,10,20,20,10,20,40,10,20,10,10,10,8,8,8,6,6
"2606","1","1",1,"1",0.54,"0",22,"1",15.38,19.23,19.23,17.31,17.31,11.54,"1",8,8,9,8,9,9,8,7,2,25,"Law","4",2,2,"FunNightOut","SVRL/Year","2/Week","Lawyer",8,10,7,9,9,8,1,1,4,10,10,10,10,9,9,9,5,4,20.93,16.28,23.26,16.28,11.63,11.63,26.32,13.16,13.16,26.32,13.16,7.89,7,9,5,10,7
"3815","0","2",1,"0",0.26,"0",22,"2",10,15,25,15,15,20,"1",8,7,8,7,5,8,5,5,2,26,"SocScie/Psych","1",9,10,"FunNightOut","SVRL/Year","2/Week","Undecided",1,1,1,5,7,7,7,1,3,9,4,7,7,7,8,9,6,1,20,20,20,10,20,10,50,30,5,5,5,5,8,8,8,8,5
"4325","1","2",4,"0",-0.17,"0",23,"2",10,15,40,15,10,10,"0",4,4,4,4,4,4,3,4,2,22,"PoliSci","4",1,1,"FunNightOut","AlmostNever","1/Week","Entertainment",2,1,5,7,2,2,9,6,4,10,8,8,10,8,8,8,8,8,35,40,5,5,7,8,18,20,10,25,7,20,7,10,5,7,10
"7729","0","2",5,"0",-0.06,"1",23,"4",40,30,0,20,0,10,"0",1,5,8,5,9,9,4,5,2,27,"Education","4",3,2,"MeetNewPpl","2/Month","1/Week","Undecided",8,1,5,9,4,3,6,7,8,13,5,2,7,8,9,3,1,9,10,25,20,20,5,20,10,25,20,20,5,20,6,9,8,9,6
"8353","1","2",15,"0",0.29,"0",24,"6",50,20,10,5,10,5,"0",7,7,8,8,8,4,8,3,1,27,"Business","1",2,1,"FunNightOut","SVRL/Year","1/Week","Banking/Consulting",6,1,7,6,7,3,2,1,7,10,2,5,6,7,7,7,1,3,40,20,20,20,0,0,60,0,0,40,0,0,7,8,3,8,5
"6583","0","2",14,"0",0.35,"1",25,"2",40,10,0,45,0,5,"1",6,6,5,4,4,2,6,4,2,27,"SocialWork","2",2,2,"FunNightOut","2/Month","2/Week","Other",4,2,9,6,3,3,3,2,7,2,6,2,2,4,7,8,4,3,30,15,15,30,0,10,40,10,10,25,0,15,7,7,8,6,4
"5361","0","2",9,"0",-0.18,"0",29,"3",75,5,5,10,0,5,"0",6,5,8,6,5,1,6,7,2,26,"English","2",1,5,"MeetNewPpl","SVRL/Year","1/Week","IntlAffairs",2,1,1,7,2,2,6,8,1,10,3,7,8,8,8,1,4,2,9,17,23,15,14,22,25,7,8,25,10,25,7,10,2,9,8
"3387","1","2",18,"0",0.38,"0",27,"3",14.29,18.37,18.37,16.33,18.37,14.29,"0",6,6,7,6,6,6,6,6,2,31,"PoliSci","2",4,7,"MeetNewPpl","1/Month","2/Month","IntlAffairs",5,5,9,8,7,8,9,3,8,7,4,6,8,7,7,3,5,4,17.78,17.78,17.78,17.78,13.33,15.56,19.15,17.02,17.02,17.02,14.89,14.89,8,8,8,8,6
"115","1","1",10,"0",0,"1",21,"2",20,5,25,25,10,15,"0",8,6,6,5,5,5,6,4,1,22,"Law","2",1,1,"FunNightOut","SVRL/Week","SVRL/Week","Lawyer",9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,60,0,0,40,0,0,25,15,25,20,15,0,9,9,9,10,9
"621","1","2",5,"0",-0.52,"0",21,"4",10,20,40,10,10,10,"1",7,6,7,7,7,6,7,5,2,26,"Business","2",2,3,"MeetNewPpl","SVRL/Year","2/Week","Banking/Consulting",10,7,5,6,7,7,8,3,7,7,4,4,6,5,6,2,7,7,20,35,20,10,10,5,20,20,20,25,5,10,7,8,5,7,7
"5750","0","2",19,"1",0.14,"0",29,"4",25,20,15,25,10,5,"1",6,8,6,7,7,7,7,3,2,38,"Business","2",4,6,"MeetNewPpl","AlmostNever","2/Week","Banking/Consulting",4,4,6,7,8,8,7,2,2,6,7,7,9,6,6,3,5,5,15,15,20,15,15,20,50,5,5,30,0,10,6,9,6,8,9
"204","0","2",11,"0",0.43,"0",24,"2",25,35,30,10,0,0,"0",4,5,6,4,6,2,5,2,2,21,"Engineering","4",8,10,"Other","AlmostNever","2/Month","Undecided",10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2,5,12,18,20,16,16,18,35,15,10,15,5,20,5,9,7,9,10
"4654","1","2",4,"0",0.03,"1",24,"4",10,40,10,20,10,10,"0",8,9,10,10,10,5,9,8,2,27,"Education","4",7,3,"FunNightOut","AlmostNever","2/Week","Academic/Research",7,7,7,8,8,8,8,7,3,7,9,8,9,7,8,7,7,7,17,19,18,17,11,18,15,20,20,15,15,15,7,10,8,8,7
"4883","0","1",6,"0",-0.11,"0",29,"4",40,10,15,10,10,15,"0",6,8,8,8,6,7,6,7,2,36,"Education","1",5,5,"MeetNewPpl","SVRL/Year","2/Month","Academic/Research",2,2,3,8,8,8,2,2,6,9,6,10,8,10,10,10,8,8,15,15,15,20,20,15,25,15,10,25,10,15,8,9,6,9,8
"1736","0","1",3,"0",0.54,"0",19,"4",25,10,20,20,10,15,"0",6,6,7,6,6,2,5,1,2,20,"English","3",1,4,"ToSayIDidIt","2/Month","1/Week","Entertainment",5,4,4,8,7,5,3,1,5,10,6,10,9,6,8,3,5,3,10,10,35,35,8,2,50,1,20,20,2,7,6,8,8,8,9
"409","0","2",4,"0",0.01,"1",25,"4",25,20,25,20,10,0,"0",8,7,6,8,6,4,5,2,2,21,"Business","4",2,2,"FunNightOut","SVRL/Year","2/Week","Banking/Consulting",7,6,6,7,4,4,5,4,7,7,6,9,10,7,7,7,7,6,30,5,30,15,15,5,20,20,25,20,5,10,7,7,7,7,8
"3470","0","1",7,"1",-0.38,"0",25,"6",20,20,20,20,10,10,"1",6,7,7,8,9,7,7,10,2,26,"Business","4",1,1,"FunNightOut","SVRL/Year","1/Week","Entertainment",10,10,9,10,10,8,9,14,9,10,10,10,10,10,10,10,3,2,10,30,30,10,10,10,40,5,10,25,10,10,3,8,5,3,6
"5156","0","2",3,"0",0.56,"0",27,"2",14,18,17,16,15,20,"0",5,6,6,6,5,4,5,4,2,21,"Education","4",3,3,"MeetNewPpl","SVRL/Year","SVRL/Week","Academic/Research",3,5,1,10,10,10,2,1,9,10,7,10,7,7,7,10,5,5,15,25,15,15,15,15,25,15,15,15,15,15,6,10,10,10,10
"7827","0","2",15,"0",0.29,"0",27,"1",40,20,20,20,0,0,"0",6,6,6,6,6,6,6,1,1,24,"SocialWork","6",5,5,"FunNightOut","2/Month","1/Week","SocialWork",5,5,1,8,7,7,6,2,7,6,6,8,7,8,8,7,6,1,50,20,10,5,10,5,70,5,5,5,10,5,10,10,10,10,10
"1548","1","2",8,"0",-0.36,"0",29,"2",14,20,18,24,18,6,"0",7,7,7,7,7,6,7,6,2,25,"Law","1",1,1,"MeetNewPpl","AlmostNever","SVRL/Week","Lawyer",9,9,6,8,5,5,3,4,7,8,6,6,7,4,7,5,5,5,30,15,20,20,0,5,25,15,20,15,10,15,8,7,9,8,6
"5369","0","2",7,"0",-0.25,"0",23,"4",25,20,20,20,5,10,"0",4,6,6,5,5,4,5,4,2,24,"SocScie/Psych","6",8,4,"MeetNewPpl","SVRL/Year","2/Week","Psychologist",9,7,6,9,7,8,9,9,1,7,6,7,7,10,10,7,8,7,20,30,10,10,10,20,30,10,10,20,10,20,8,10,8,8,8
"2284","1","2",13,"0",0.04,"0",24,"2",11.36,18.18,22.73,18.18,11.36,18.18,"0",7,7,7,7,7,4,3,1,2,26,"Business","6",1,9,"ToSayIDidIt","1/Month","2/Week","Banking/Consulting",5,5,9,4,4,2,5,1,3,9,1,5,8,7,10,1,7,6,27.78,19.44,19.44,27.78,2.78,2.78,21.74,15.22,15.22,15.22,17.39,15.22,7,7,7,7,7
"761","1","2",3,"0",0.16,"1",23,"2",10,20,20,20,20,10,"1",7,7,8,7,9,7,9,6,2,28,"MedSci","2",2,2,"MeetNewPpl","SVRL/Year","2/Week","DocMed",8,4,3,10,9,8,8,4,4,9,5,7,9,9,9,7,3,6,40,15,20,10,5,10,30,15,20,15,10,10,8,9,8,8,8
"4314","1","2",17,"0",0.31,"1",27,"4",19,20,19,14,13,15,"0",5,6,6,7,10,5,6,4,2,22,"PoliSci","4",1,1,"FunNightOut","AlmostNever","1/Week","Entertainment",2,1,5,7,2,2,9,6,4,10,8,8,10,8,8,8,8,8,35,40,5,5,7,8,18,20,10,25,7,20,7,10,5,7,10
"5144","0","2",7,"0",-0.43,"0",27,"2",30,15,15,20,5,15,"0",2,6,7,4,4,1,2,1,2,26,"Education","1",1,1,"ToSayIDidIt","SVRL/Year","SVRL/Week","Politics",1,1,2,10,3,3,1,1,8,2,5,3,8,1,7,10,1,5,30,5,10,20,30,5,30,5,10,20,30,5,8,6,10,10,10
"4941","1","1",9,"0",0.7,"0",30,"2",22,12,30,25,10,1,"0",6,8,8,10,8,6,8,4,2,30,"SocScie/Psych","4",1,1,"GetADate","AlmostNever","2/Month","Academic/Research",7,2,8,5,10,10,7,3,7,9,5,8,10,5,9,7,1,7,60,10,10,10,5,5,50,5,5,30,5,5,5,10,6,6,10
"738","1","2",6,"0",0.06,"1",23,"2",20,20,20,15,15,10,"0",2,7,6,4,4,4,5,4,2,21,"Law","2",10,9,"FunNightOut","2/Month","SVRL/Week","Lawyer",8,5,3,6,3,4,3,3,3,3,7,4,6,3,5,4,2,5,15,20,15,30,5,15,10,15,20,20,25,10,5,8,6,8,7
"2110","0","2",11,"0",0.54,"1",26,"2",12,20,20,20,16,12,"0",8,6,6,6,6,7,7,4,2,27,"Business","2",5,1,"MeetNewPpl","1/Month","SVRL/Week","IntlAffairs",2,1,10,10,7,8,5,1,1,10,4,10,9,5,7,7,4,3,15.09,18.87,18.87,16.98,16.98,13.21,21.95,14.63,12.2,21.95,9.76,19.51,7,10,6,8,9
"609","1","2",13,"0",-0.41,"1",23,"2",10,20,20,20,20,10,"0",4,5,5,2,6,5,4,3,2,28,"Business","2",6,6,"MeetNewPpl","SVRL/Year","1/Week","Banking/Consulting",9,7,3,6,8,6,6,7,6,6,7,6,7,6,6,6,3,7,25,15,25,15,0,20,20,20,20,10,10,20,7,8,6,8,7
"4470","0","2",10,"0",0.19,"0",29,"4",50,20,10,10,5,5,"0",4,5,5,5,7,8,6,6,2,30,"Education","2",5,7,"MeetNewPpl","SVRL/Year","SVRL/Week","Academic/Research",7,8,8,5,7,5,3,1,2,10,7,10,10,8,8,5,8,6,10,18,20,16,16,20,22,20,14,18,8,18,7,10,8,8,8
"103","1","1",6,"0",-0.24,"1",25,"2",35,10,35,10,10,0,"0",7,9,10,7,8,9,8,7,1,27,"Business","2",7,3,"FunNightOut","1/Month","2/Month","Academic/Research",8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,35,20,20,20,0,5,25,5,20,20,25,5,8,9,7,8,5
"6298","1","2",9,"0",0.29,"0",26,"2",15,20,15,30,10,10,"0",3,3,4,4,8,2,3,1,2,24,"PoliSci","3",1,1,"MeetNewPpl","AlmostNever","SVRL/Week","IntlAffairs",7,7,9,8,9,8,3,5,1,6,2,4,8,6,10,2,1,6,20,10,20,20,10,20,30,15,15,20,10,15,8,7,10,8,9
"7726","0","2",20,"0",0.39,"0",32,"2",50,0,10,30,0,10,"0",4,6,5,6,5,5,6,9,2,27,"Education","4",3,2,"MeetNewPpl","2/Month","1/Week","Undecided",8,1,5,9,4,3,6,7,8,13,5,2,7,8,9,3,1,9,10,25,20,20,5,20,10,25,20,20,5,20,6,9,8,9,6
"4301","1","2",17,"0",0.08,"0",24,"3",30,20,20,10,15,5,"0",5,6,6,6,6,4,5,4,2,22,"Math","2",4,7,"FunNightOut","SVRL/Year","1/Week","Academic/Research",7,3,4,3,8,7,9,9,4,8,6,8,7,8,6,3,8,7,10,15,25,15,15,20,15,15,20,15,20,15,3,6,6,7,7
"408","0","2",14,"0",-0.15,"0",23,"1",20,25,25,10,10,10,"0",6,9,9,8,8,7,8,7,2,30,"SocScie/Psych","2",4,8,"Other","SVRL/Year","SVRL/Week","Entertainment",4,6,10,7,8,6,6,8,6,10,10,8,8,6,6,7,9,4,30,20,30,10,0,10,95,1,1,1,1,1,6,8,6,8,8
"7226","1","2",2,"1",0.26,"0",29,"4",10,20,25,25,10,10,"1",7,7,5,7,5,7,8,5,2,28,"Business","2",6,5,"GetADate","2/Week","SVRL/Week","Banking/Consulting",7,7,7,9,9,9,6,9,9,6,6,9,9,9,7,6,5,6,20,10,20,20,20,0,20,20,20,20,20,0,6,8,8,9,10
"5792","0","2",7,"0",0.07,"0",27,"4",20,20,20,20,20,0,"0",7,6,6,6,5,7,6,5,2,24,"Film","2",6,3,"ToSayIDidIt","2/Month","SVRL/Week","Entertainment",5,5,5,7,8,8,6,5,6,9,6,4,8,7,8,8,7,2,20,10,20,35,5,10,40,5,20,15,10,10,7,7,10,9,8
"741","1","2",2,"0",0.42,"1",22,"2",20,22,18,15,15,10,"1",6,8,8,5,7,5,8,7,2,21,"Law","2",10,9,"FunNightOut","2/Month","SVRL/Week","Lawyer",8,5,3,6,3,4,3,3,3,3,7,4,6,3,5,4,2,5,15,20,15,30,5,15,10,15,20,20,25,10,5,8,6,8,7
"5716","1","2",4,"0",-0.34,"0",29,"6",20,20,20,10,10,20,"0",6,5,6,5,5,5,5,5,2,26,"Business","4",3,2,"FunNightOut","1/Month","SVRL/Week","Banking/Consulting",7,9,6,6,3,3,1,7,8,6,8,5,8,7,8,6,2,6,25,20,10,20,15,10,20,25,20,20,10,5,7,8,8,7,7
"270","0","2",9,"0",-0.01,"1",28,"2",25,15,25,15,0,20,"1",7,6,6,7,6,6,7,7,2,25,"SocialWork","2",10,2,"FunNightOut","1/Month","2/Week","IntlAffairs",7,4,7,7,6,3,5,6,8,9,9,7,10,6,8,8,4,5,20,20,15,15,15,15,30,15,10,20,10,15,7,9,7,8,6
"2548","1","1",3,"0",-0.13,"1",24,"2",20,22.5,17.5,22.5,10,7.5,"0",6,6,6,6,6,6,6,5,2,26,"Business","2",10,5,"MeetNewPpl","2/Month","SVRL/Week","Banking/Consulting",3,5,10,5,10,10,1,2,1,10,5,8,8,10,10,1,1,6,16.98,16.98,18.87,16.98,13.21,16.98,15.09,18.87,15.09,18.87,18.87,13.21,8,9,7,10,7
"7268","1","2",8,"1",0.12,"0",24,"2",20,20,20,20,20,0,"1",8,10,10,9,9,9,8,5,2,30,"Bio","6",1,1,"MeetNewPpl","2/Month","2/Week","Academic/Research",10,10,10,10,10,10,10,2,4,10,7,5,5,2,5,10,10,7,30,0,30,30,10,0,0,30,30,0,30,10,10,10,10,10,10
"3149","1","2",16,"1",0.41,"0",24,"2",16,16,20,16,18,14,"1",8,10,10,8,10,7,8,7,2,27,"Business","4",6,1,"MeetNewPpl","SVRL/Year","1/Week","Banking/Consulting",5,6,3,7,6,3,4,3,7,8,7,8,8,4,4,4,1,6,15.56,17.78,17.78,17.78,17.78,13.33,15.69,19.61,19.61,15.69,17.65,11.76,7,9,7,9,9
"3393","1","2",4,"0",0.44,"1",23,"4",15.38,19.23,17.31,19.23,9.62,19.23,"0",4,6,6,7,6,5,5,5,2,29,"PoliSci","4",1,1,"FunNightOut","1/Week","2/Week","Banking/Consulting",10,9,8,10,8,8,7,9,8,5,10,8,10,10,10,8,6,7,14,20,18,16,14,18,14,20,14,18,16,18,7,8,8,7,8
"8018","1","2",2,"0",0.57,"1",22,"2",10,20,15,20,15,20,"0",5,6,5,5,7,4,5,4,2,29,"Math","2",1,1,"FunNightOut","1/Month","2/Week","Banking/Consulting",7,3,5,8,7,7,3,2,7,8,6,4,9,7,9,7,1,8,30,20,20,20,10,0,30,5,10,20,30,5,7,8,8,8,8
"6062","0","2",2,"0",-0.41,"1",27,"2",20,20,20,20,10,10,"0",4,6,8,3,6,2,4,1,2,33,"English","2",1,2,"GetADate","2/Month","2/Week","Entertainment",3,4,4,10,8,8,6,1,8,9,3,10,10,7,9,7,8,4,20,20,20,10,10,20,30,20,10,20,10,10,8,8,7,9,7
"3468","0","1",9,"0",0.09,"0",27,"6",25,15,20,20,15,5,"1",6,7,7,8,7,5,7,6,2,26,"Business","4",1,1,"FunNightOut","SVRL/Year","1/Week","Entertainment",10,10,9,10,10,8,9,14,9,10,10,10,10,10,10,10,3,2,10,30,30,10,10,10,40,5,10,25,10,10,3,8,5,3,6
"1780","1","1",5,"1",0.71,"1",21,"2",20,10,30,20,15,5,"1",10,10,10,10,10,10,10,10,1,21,"MedSci","2",3,1,"FunNightOut","1/Week","SVRL/Week","DocMed",3,1,9,10,9,10,1,1,10,9,2,9,9,9,9,10,7,6,20,15,20,15,12,18,25,10,15,15,15,20,9,6,10,9,10
"6216","1","2",1,"1",-0.16,"1",28,"2",25,25,25,10,10,5,"1",8,8,8,6,8,4,6,5,2,23,"Engineering","2",1,4,"MeetNewPpl","1/Month","2/Week","Banking/Consulting",10,5,8,10,8,8,9,7,9,8,4,5,8,7,8,6,3,7,25,14,25,25,3,8,10,16,24,24,20,6,6,9,7,8,8
"2550","1","1",9,"1",0.43,"0",23,"6",12.24,20.41,16.33,14.29,20.41,16.33,"1",4,7,7,7,7,7,5,6,2,21,"Engineering","2",1,1,"MeetNewPpl","1/Week","SVRL/Week","Academic/Research",2,1,5,10,8,8,5,7,5,7,3,5,5,5,7,7,3,6,15.56,11.11,22.22,15.56,20,15.56,14.29,14.29,19.05,19.05,19.05,14.29,7,5,7,10,10
"6903","0","2",8,"1",0.12,"0",30,"6",30,0,30,30,10,0,"1",10,8,10,8,10,2,2,1,2,24,"Business","2",7,4,"Other","2/Week","SVRL/Week","Banking/Consulting",8,4,9,9,9,9,8,5,8,9,8,9,9,9,9,9,9,7,20,20,20,20,20,0,60,5,15,10,5,5,8,8,8,8,8
"7939","1","2",20,"0",0.37,"0",28,"4",10,20,30,10,10,20,"0",2,2,2,2,3,2,0,0,2,26,"Engineering","2",1,1,"MeetNewPpl","SVRL/Year","2/Week","Academic/Research",7,3,5,7,5,5,7,2,5,3,1,5,7,6,7,2,2,5,25,25,25,13,12,0,25,15,15,15,15,15,8,9,8,9,9
"200","1","1",4,"0",0.08,"1",26,"2",15,15,15,40,10,5,"1",9,9,8,10,8,8,9,10,2,24,"Business","2",1,1,"FunNightOut","SVRL/Week","SVRL/Week","Banking/Consulting",10,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10,6,100,0,0,0,0,0,50,10,10,10,10,10,7,7,10,10,10
"5169","0","2",4,"0",0.5,"1",34,"2",30,20,30,5,5,10,"0",10,10,10,10,10,9,10,8,2,33,"SocScie/Psych","2",1,7,"FunNightOut","2/Month","2/Week","Banking/Consulting",2,3,10,8,7,8,7,1,6,7,4,8,8,8,9,6,7,6,25,20,10,20,20,5,50,5,20,30,5,0,7,8,8,9,7
"7787","0","2",13,"0",0.35,"0",26,"2",25,25,25,13,12,0,"0",5,7,7,7,6,5,7,7,2,26,"SocialWork","3",5,2,"FunNightOut","1/Month","1/Week","SocialWork",2,1,3,10,10,7,6,5,10,8,4,10,8,6,8,4,10,6,10,10,30,20,10,15,50,10,10,10,10,10,3,6,9,7,10
"8257","1","2",5,"0",0.6,"1",26,"2",40,5,30,15,5,5,"0",7,5,7,7,7,5,6,8,2,30,"Business","2",1,1,"MeetNewPpl","1/Week","SVRL/Week","Banking/Consulting",9,6,9,7,8,8,2,2,8,9,4,9,8,9,9,6,5,6,25,20,20,20,0,15,25,20,10,25,15,5,7,9,8,8,8
"7704","0","2",19,"0",-0.2,"1",32,"2",50,0,10,30,0,10,"0",6,6,6,6,5,5,5,8,2,22,"Law","2",3,6,"FunNightOut","SVRL/Year","2/Week","Lawyer",6,6,6,7,8,9,3,3,7,9,8,10,10,7,7,5,3,5,10,20,15,20,15,20,20,15,15,20,10,20,7,7,7,9,8
"886","0","1",2,"0",-0.23,"0",22,"2",30,10,20,30,0,10,"0",4,8,7,6,7,5,2,7,2,24,"Law","4",1,3,"GetADate","SVRL/Year","SVRL/Week","Undecided",5,3,8,6,9,8,5,1,2,10,1,8,9,4,5,6,2,6,5,15,45,25,0,10,50,5,20,15,0,10,6,8,9,8,7
"2490","0","1",10,"0",0.42,"0",25,"4",16.98,15.09,16.98,16.98,18.87,15.09,"1",6,8,9,9,9,5,9,9,1,22,"MedSci","1",7,5,"FunNightOut","2/Month","1/Week","DocMed",5,6,2,8,3,2,1,4,1,7,8,2,6,4,10,8,1,6,16.07,17.86,17.86,17.86,17.86,12.5,19.23,15.38,15.38,17.31,15.38,17.31,8,8,8,8,10
"4012","1","2",10,"0",0.37,"0",28,"3",0,25,25,25,25,0,"1",6,6,7,6,5,2,6,8,2,29,"Bio","2",8,4,"MeetNewPpl","1/Month","2/Week","Academic/Research",6,1,5,7,7,4,8,1,3,2,5,7,8,8,8,3,2,5,30,25,18,18,4,5,17,15,23,20,15,10,7,10,5,7,7
"5147","0","2",14,"0",0.47,"0",27,"2",30,20,15,15,8,12,"0",1,4,2,1,2,1,2,3,2,26,"Education","1",1,1,"ToSayIDidIt","SVRL/Year","SVRL/Week","Politics",1,1,2,10,3,3,1,1,8,2,5,3,8,1,7,10,1,5,30,5,10,20,30,5,30,5,10,20,30,5,8,6,10,10,10
"5421","1","2",17,"0",0.07,"0",27,"4",15,20,20,20,20,5,"0",3,7,7,4,5,3,3,2,2,30,"Law","2",1,1,"FunNightOut","2/Month","1/Week","Lawyer",8,2,1,9,6,6,6,4,7,6,4,6,6,6,6,7,2,9,20.51,14.53,24.79,17.09,5.98,17.09,33,17,16,33,0,1,7,7,9,8,8
"4679","1","2",8,"0",0.55,"1",28,"2",15,20,35,15,5,10,"0",6,5,5,3,1,3,2,1,2,25,"Engineering","2",7,8,"FunNightOut","1/Week","SVRL/Week","Undecided",2,2,3,7,6,6,3,8,5,9,8,7,9,5,6,5,3,6,24,15,20,20,8,13,21,17,16,15,13,18,7,6,8,7,4
"7056","0","2",15,"0",0.29,"0",32,"6",20,20,20,15,15,10,"0",7,7,6,6,6,4,6,6,2,27,"Engineering","3",5,7,"FunNightOut","2/Month","2/Week","Engineer",9,6,7,8,6,8,8,4,7,7,4,7,8,7,7,6,4,7,16,19,16,17,15,17,25,20,15,20,10,10,6,8,7,7,7
"3673","0","2",19,"0",-0.3,"1",27,"4",20,20,15,15,12,18,"1",5,8,8,7,6,6,6,7,2,24,"MedSci","4",6,5,"MeetNewPpl","SVRL/Year","2/Month","DocMed",5,3,6,7,6,5,6,5,5,5,8,6,8,8,8,9,3,6,15,25,20,20,10,10,30,10,20,25,5,10,6,9,6,8,6
"710","1","2",7,"0",-0.02,"0",26,"2",20,25,20,15,15,5,"0",5,4,8,5,8,3,5,3,2,27,"Law","1",4,4,"Other","SVRL/Year","2/Week","Lawyer",10,10,3,8,5,3,4,3,10,5,6,8,10,7,10,6,2,5,35,10,20,15,10,10,60,10,5,5,10,10,8,9,9,10,8
"5231","0","2",14,"1",0.3,"0",25,"2",17,18,28,27,5,5,"1",7,10,9,6,6,3,6,8,2,29,"Education","6",6,6,"MeetNewPpl","2/Month","1/Week","Entertainment",8,5,10,10,10,10,8,4,5,5,8,9,9,10,10,7,7,9,20,20,20,10,10,20,20,20,15,10,15,20,9,10,9,9,8
"8211","1","2",5,"0",-0.13,"0",30,"3",15,20,20,20,5,10,"0",5,5,5,4,3,3,4,6,2,24,"Engineering","2",7,1,"FunNightOut","AlmostNever","2/Week","DocMed",10,2,2,5,5,4,7,5,4,7,4,3,4,5,5,2,1,6,20,20,20,20,10,10,20,20,10,20,25,5,8,8,8,9,6
"4986","1","1",6,"0",-0.07,"0",25,"4",10,20,20,20,10,20,"0",6,8,7,7,6,8,6,5,2,28,"Engineering","2",1,1,"FunNightOut","1/Month","1/Week","Engineer",9,9,8,8,8,7,5,4,6,7,5,7,8,7,6,4,4,5,17,17,17,17,16,16,16,17,17,17,17,16,6,6,6,6,6
"4912","0","1",4,"0",0.73,"0",25,"3",20,15,30,10,15,10,"0",2,2,5,1,7,1,1,1,2,29,"Education","2",1,1,"Other","SVRL/Year","2/Week","Academic/Research",3,2,7,7,10,10,3,1,4,10,2,10,7,6,8,2,1,4,15,22,22,16,15,10,30,10,10,30,10,10,8,9,5,8,8
"606","1","2",2,"0",-0.27,"0",22,"3",17,10,18,20,25,10,"0",3,6,6,4,5,1,1,2,2,28,"Business","2",6,6,"MeetNewPpl","SVRL/Year","1/Week","Banking/Consulting",9,7,3,6,8,6,6,7,6,6,7,6,7,6,6,6,3,7,25,15,25,15,0,20,20,20,20,10,10,20,7,8,6,8,7
"6320","1","2",9,"0",0.01,"0",25,"4",15,18,18,18,15,16,"0",7,9,9,7,7,4,7,5,2,23,"Engineering","2",5,5,"MeetNewPpl","SVRL/Year","1/Week","Academic/Research",10,4,1,4,7,8,10,2,8,7,2,6,8,10,10,5,2,7,20,15,20,20,10,15,15,15,20,20,15,15,7,9,8,9,8
"8212","1","2",10,"0",-0.12,"1",23,"2",20,25,25,30,5,5,"0",7,7,4,6,5,1,5,5,2,24,"Engineering","2",7,1,"FunNightOut","AlmostNever","2/Week","DocMed",10,2,2,5,5,4,7,5,4,7,4,3,4,5,5,2,1,6,20,20,20,20,10,10,20,20,10,20,25,5,8,8,8,9,6
